"id","title","status","horizon","tests","specs"
"feat:app-framed-message-codec-runtime-001","App-framed message codec runtime","absent",,"1","spc:2101;spc:2107;spc:2108"
"feat:http-rest-jsonrpc-atom-chains-001","HTTP REST and JSON-RPC atom chains","absent",,"0","spc:2097;spc:2098;spc:2105"
"feat:json-schema-uix-surface-001","JSON Schema UIX surface","absent",,"14","spc:2010;spc:2090"
"feat:python-request-hot-path-no-ddl-001","Python request hot path excludes DDL","absent",,"2","spc:2086;spc:2088;spc:2090"
"feat:rust-request-envelope-contract-001","Rust request envelope contract","absent",,"2","spc:2089;spc:2090"
"feat:appspec-routerspec-composition-001","AppSpec and RouterSpec composition","implemented",,"1","spc:1000;spc:2025"
"feat:auth-failure-projection-parity-001","Authorization failure projection parity","implemented",,"8","spc:2012;spc:2080;spc:2090"
"feat:canonical-datatype-catalog-semantic-center-001","Canonical datatype catalog and semantic center","implemented",,"3","spc:2025;spc:2090"
"feat:columnspec-datatype-attachment-point-001","ColumnSpec datatype attachment point","implemented",,"3","spc:2025;spc:2090"
"feat:datatype-adapter-registry-contract-001","Datatype adapter and registry contract","implemented",,"2","spc:2025"
"feat:default-canonical-engine-family-datatype-alignment-001","Default canonical engine-family datatype alignment","implemented",,"2","spc:2027;spc:2062;spc:2090"
"feat:docs-support-001","Canonical documentation support surfaces","implemented",,"16","spc:2010;spc:2077;spc:2078;spc:2079;spc:2080;spc:2090"
"feat:engine-datatype-lowering-registry-bridge-001","Engine datatype lowering and registry bridge","implemented",,"3","spc:2025;spc:2027;spc:2090"
"feat:external-error-detail-sanitization-001","External persistence error detail sanitization","implemented",,"5","spc:2012;spc:2096;spc:2090"
"feat:gate-a-boundary-freeze-manifest","Gate A boundary-freeze manifest","implemented",,"3",""
"feat:gate-a-current-cycle-boundary-freeze-marker","Gate A current-cycle boundary-freeze marker","implemented",,"3",""
"feat:jsonrpc-input-validation-before-persistence-001","JSON-RPC input validation before persistence","implemented",,"3","spc:2012;spc:2014;spc:2090"
"feat:jsonrpc-persistence-error-sanitization-001","JSON-RPC persistence exception response sanitization","implemented",,"3","spc:2012;spc:2090"
"feat:next-target-datatype-table-isolation","Next-target datatype/table isolation","implemented",,"2",""
"feat:reflected-datatype-mapper-reverse-mapping-001","Reflected datatype mapper and reverse mapping","implemented",,"2","spc:2025"
"feat:rfc-8785-jcs-canonicalizer-001","RFC 8785 JCS canonicalizer","implemented",,"3","spc:2076;spc:2090"
"feat:rfc-8785-jcs-conformance-vectors-001","RFC 8785 JCS conformance vectors","implemented",,"3","spc:2076;spc:2090"
"feat:rfc-8785-jcs-rejection-semantics-001","RFC 8785 JCS rejection semantics","implemented",,"2","spc:2076"
"feat:schema-reflection-roundtrip-recovery-001","Schema reflection round-trip recovery","implemented",,"2","spc:2025"
"feat:transport-parity-contract-001","REST and JSON-RPC parity through the shared dispatch path","implemented",,"8","spc:2013;spc:2024;spc:2090"
"feat:appspec-harness-uvicorn-e2e-parity-001","AppSpec and harness Uvicorn E2E parity","partial",,"15","spc:2011;spc:2045;spc:2090"
"feat:asyncapi-mount-surface-001","AsyncAPI mount surface","partial",,"14","spc:2010"
"feat:binding-driven-ingress-001","Binding-driven REST and JSON-RPC ingress materialization","partial",,"41","spc:2014;spc:2090"
"feat:build-json-schema-bundle-helper-surface-001","build_json_schema_bundle helper surface","partial",,"14","spc:2010"
"feat:datatypespec-contract-001","DataTypeSpec contract","partial",,"1","spc:2025"
"feat:default-kernel-identity-001","Default kernel identity","partial",,"15","spc:2018;spc:2090"
"feat:enginedatatypebridge-contract-001","EngineDatatypeBridge contract","partial",,"2","spc:2025;spc:2090"
"feat:engine-extension-surface-001","Engine extension surface","partial",,"2","spc:2027;spc:2090"
"feat:engineregistry-contract-001","EngineRegistry contract","partial",,"2","spc:2025;spc:2090"
"feat:engine-resolver-multi-table-rpc-001","Engine resolver and multi-table RPC parity under Uvicorn","partial",,"48","spc:2011;spc:2027;spc:2034;spc:2045;spc:2090"
"feat:engine-surface-contract-001","Engine surface contract and datatype bridge","partial",,"33","spc:2027;spc:2034;spc:2090"
"feat:enginetypelowerer-protocol-001","EngineTypeLowerer protocol","partial",,"2","spc:2025;spc:2090"
"feat:error-parity-response-structure-001","Error parity, validation parity, and response structure","partial",,"7","spc:2012;spc:2020;spc:2090"
"feat:executor-dispatch-removal-001","Executors do not perform transport matching","partial",,"9","spc:2013;spc:2024;spc:2090"
"feat:http-jsonrpc-bindingspec-contract-001","HttpJsonRpcBindingSpec contract","partial",,"2","spc:2025;spc:2090"
"feat:jsonresponse-concrete-response-class-001","JSONResponse concrete response class","partial",,"20","spc:2041"
"feat:jsonrpc-20-runtime-surface-001","JSON-RPC 2.0 runtime surface","partial",,"13","spc:2090"
"feat:jsonrpc-batch-framing-001","JSON-RPC batch framing","partial",,"8","spc:2020;spc:2012;spc:2090"
"feat:jsonrpc-endpoint-key-001","Endpoint-keyed JSON-RPC multiplexing","partial",,"40","spc:2015;spc:2016;spc:2090"
"feat:jsonrpc-notification-204-projection-001","JSON-RPC notification 204 projection","partial",,"15","spc:2011;spc:2090"
"feat:json-schema-mount-surface-001","JSON Schema mount surface","partial",,"14","spc:2010"
"feat:json-schema-payload-surface-001","JSON Schema payload surface","partial",,"14","spc:2010"
"feat:kernel-prime-opview-cache-001","Kernel priming and OpView cache lifecycle","partial",,"15","spc:2018;spc:2090"
"feat:monotone-spec-merge-precedence-001","Monotone spec-merge precedence","partial",,"3","spc:2083"
"feat:multi-table-routing-parity-001","Multi-table routing parity","partial",,"15","spc:2011;spc:2090"
"feat:oas-002","Obsolete alias for OpenAPI JSON Schema Draft 2020-12 dialect declaration","partial",,"0",""
"feat:oas-006","Obsolete alias for Mounted OpenAPI JSON and Swagger docs surface","partial",,"0",""
"feat:op-011","Obsolete alias for JSON Schema UI out of bounds while schema bundle remains in scope","partial",,"0",""
"feat:openapi-json-schema-dialect-2020-12-001","OpenAPI JSON Schema Draft 2020-12 dialect declaration","partial",,"12","spc:2090"
"feat:openapi-mounted-json-and-docs-surface-001","Mounted OpenAPI JSON and Swagger docs surface","partial",,"13","spc:2090"
"feat:openapi-mount-surface-001","OpenAPI mount surface","partial",,"14","spc:2010"
"feat:openrpc-126-json-surface-001","OpenRPC 1.2.6 JSON document surface","partial",,"13","spc:2090"
"feat:openrpc-mount-surface-001","OpenRPC mount surface","partial",,"14","spc:2010"
"feat:operator-json-schema-ui-descoped-001","JSON Schema UI out of bounds while schema bundle remains in scope","partial",,"3",""
"feat:opview-on-demand-cache-reuse-001","OpView on-demand cache reuse","partial",,"15","spc:2018;spc:2090"
"feat:reflecteddatatype-contract-001","ReflectedDatatype contract","partial",,"1","spc:2025"
"feat:reflectedtypemapper-contract-001","ReflectedTypeMapper contract","partial",,"1","spc:2025"
"feat:rpc-001","Obsolete alias for JSON-RPC 2.0 runtime surface","partial",,"0",""
"feat:rpc-002","Obsolete alias for OpenRPC 1.2.6 JSON document surface","partial",,"0",""
"feat:storagetyperef-contract-001","StorageTypeRef contract","partial",,"1","spc:2025"
"feat:typeadapter-protocol-001","TypeAdapter protocol","partial",,"1","spc:2025"
"feat:typeregistry-contract-001","TypeRegistry contract","partial",,"1","spc:2025"
"feat:uploaded-file-runtime-contract-001","Uploaded file runtime contract","partial",,"3","spc:2020;spc:2090"
"feat:uvicorn-rest-rpc-semantic-parity-001","Uvicorn REST and JSON-RPC semantic parity","partial",,"15","spc:2011;spc:2090"
"feat:validation-failure-projection-parity-001","Validation failure projection parity","partial",,"6","spc:2012;spc:2090"
