claim_registry_row_id,claim_id,claim_title,claim_state,claim_public,claim_certified_boundary,claim_owner,claim_profile_or_phase,claim_lifecycle,claim_tier_target,claim_status,mapped_feature_ids,required_test_pointers,evidence_bundle_ids,evidence_artifact_ids,evidence_pointers
CREG-0001,BLK-001,The active 0.3.19.dev1 line is not certifiably fully featured.,blocked,True,False,Governance,active_next_target,recertify_required,tier_0_blocked,blocked,,tools/ci/tests/test_certification_tree.py,EBND-0002;EBND-0024,EART-0003;EART-0096,certification/claims/blocked.yaml;reports/current_state/2026-04-09-phase6-tigrcorn-hardening.md
CREG-0002,BLK-002,The active 0.3.19.dev1 line is not certifiably fully RFC compliant.,blocked,True,False,Governance,active_next_target,recertify_required,tier_0_blocked,blocked,,tools/ci/tests/test_certification_tree.py,EBND-0002;EBND-0024,EART-0003;EART-0096,certification/claims/blocked.yaml;reports/current_state/2026-04-09-phase6-tigrcorn-hardening.md
CREG-0003,BLK-003,Engine-family datatype alignment lacks feature-specific proof slices.,blocked,False,False,Next-target program,active_next_target,recertify_required,tier_0_blocked,blocked,,tools/ci/tests/test_certification_tree.py;pkgs/core/tigrbl_core/tests/test_engine_family_alignment.py,EBND-0001;EBND-0002;EBND-0002,EART-0002;EART-0003;EART-0007,.github/workflows/next-target-datatypes.yml;certification/claims/blocked.yaml;certification/targets/next_target.yaml
CREG-0004,BLK-004,Native backend claims must remain blocked until Python-vs-Rust parity lanes pass as release evidence.,blocked,True,False,Governance,active_next_target,recertify_required,tier_0_blocked,blocked,,tools/ci/tests/test_phase4_native_parity.py,EBND-0002;EBND-0023,EART-0003;EART-0091,certification/claims/blocked.yaml;reports/certification_state/2026-04-09-phase4-native-parity.md
CREG-0005,BLK-005,Tigrcorn interop and benchmark certification claims must remain blocked until governed release evidence populates the public bundle targets.,blocked,True,False,Governance,active_next_target,recertify_required,tier_0_blocked,blocked,,tools/ci/tests/test_phase5_tigrcorn_operator_surface.py,EBND-0002;EBND-0023,EART-0003;EART-0092,certification/claims/blocked.yaml;reports/certification_state/2026-04-09-phase5-tigrcorn-operator-surface.md
CREG-0006,BLK-006,Tigrcorn hardening and negative-certification claims must remain blocked until profile-specific negative corpora run as governed release evidence.,blocked,True,False,Governance,active_next_target,recertify_required,tier_0_blocked,blocked,,tools/ci/tests/test_phase6_tigrcorn_hardening.py,EBND-0002;EBND-0023,EART-0003;EART-0093,certification/claims/blocked.yaml;reports/certification_state/2026-04-09-phase6-tigrcorn-hardening.md
CREG-0007,BLK-007,The active line cannot be promoted until claim lifecycle prerequisites and preserved release evidence are complete.,blocked,True,False,Governance,active_next_target,recertify_required,tier_0_blocked,blocked,,tools/ci/tests/test_phase7_claim_lifecycle.py,EBND-0002;EBND-0010;EBND-0023;EBND-0024,EART-0003;EART-0054;EART-0094;EART-0097,certification/claims/blocked.yaml;docs/conformance/releases/0.3.18/artifacts/certification-bundle.json;reports/certification_state/2026-04-09-phase7-claims-evidence-promotion.md;reports/current_state/2026-04-09-phase7-claims-evidence-promotion.md
CREG-0008,CUR-001,Stable release 0.3.18 remains the frozen current certification boundary.,current,True,True,Governance,current_release,certified,tier_3_certified_release,certified,,tools/ci/tests/test_gate_e_promotion.py,EBND-0002;EBND-0008;EBND-0010;EBND-0010;EBND-0010;EBND-0010,EART-0004;EART-0039;EART-0050;EART-0051;EART-0053;EART-0059,certification/claims/current.yaml;docs/conformance/CURRENT_STATE.md;docs/conformance/releases/0.3.18/;docs/conformance/releases/0.3.18/CLAIMS.md;docs/conformance/releases/0.3.18/EVIDENCE_INDEX.md;docs/conformance/releases/0.3.18/gate-results/gate-e-promotion.md
CREG-0009,CUR-002,OpenAPI 3.1.0 and JSON Schema Draft 2020-12 emission remain in boundary for the frozen release.,current,True,True,Docs & Runtime,current_release,certified,tier_3_certified_release,certified,,pkgs/core/tigrbl_tests/tests/unit/test_phase5_spec_snapshots.py,EBND-0002;EBND-0008;EBND-0010;EBND-0010;EBND-0010;EBND-0012,EART-0004;EART-0040;EART-0052;EART-0053;EART-0056;EART-0064,certification/claims/current.yaml;docs/conformance/CURRENT_TARGET.md;docs/conformance/releases/0.3.18/CURRENT_TARGET_SNAPSHOT.md;docs/conformance/releases/0.3.18/EVIDENCE_INDEX.md;docs/conformance/releases/0.3.18/artifacts/spec-artifacts-manifest.json;pkgs/core/tigrbl/tigrbl/system/docs/openapi/schema.py
CREG-0010,CUR-003,JSON-RPC 2.0 and OpenRPC 1.2.6 framework surfaces remain in the frozen release boundary.,current,True,True,Protocol / RPC Runtime,current_release,certified,tier_3_certified_release,certified,,pkgs/core/tigrbl_tests/tests/unit/test_jsonrpc_openrpc.py,EBND-0002;EBND-0008;EBND-0010;EBND-0010;EBND-0010;EBND-0016,EART-0004;EART-0040;EART-0052;EART-0053;EART-0056;EART-0068,certification/claims/current.yaml;docs/conformance/CURRENT_TARGET.md;docs/conformance/releases/0.3.18/CURRENT_TARGET_SNAPSHOT.md;docs/conformance/releases/0.3.18/EVIDENCE_INDEX.md;docs/conformance/releases/0.3.18/artifacts/spec-artifacts-manifest.json;pkgs/core/tigrbl_concrete/tigrbl_concrete/system/docs/openrpc.py
CREG-0011,CUR-004,"Retained RFC 7235, RFC 7617, and RFC 6750 rows remain current-boundary claims.",current,True,True,Auth & Security,current_release,certified,tier_3_certified_release,certified,,pkgs/core/tigrbl_tests/tests/security/test_schemes.py;tools/ci/tests/test_http_auth_challenges.py,EBND-0002;EBND-0008;EBND-0010;EBND-0010,EART-0004;EART-0045;EART-0053;EART-0058,certification/claims/current.yaml;docs/conformance/RFC_SECURITY_EVIDENCE_MAP.md;docs/conformance/releases/0.3.18/EVIDENCE_INDEX.md;docs/conformance/releases/0.3.18/gate-results/gate-c-conformance-security.md
CREG-0012,CUR-005,Operator surfaces closed in Phase 7 remain current-boundary claims.,current,True,True,Operator Surface,current_release,certified,tier_3_certified_release,certified,,pkgs/core/tigrbl_tests/tests/unit/test_phase7_operator_surface_closure.py,EBND-0002;EBND-0008;EBND-0010;EBND-0011;EBND-0011,EART-0004;EART-0047;EART-0053;EART-0061;EART-0062,certification/claims/current.yaml;docs/conformance/audit/2026/phase7-operator-surface/README.md;docs/conformance/releases/0.3.18/EVIDENCE_INDEX.md;docs/developer/operator/;docs/developer/operator/README.md
CREG-0013,CUR-006,Unified tigrbl CLI command and flag surface remains current-boundary scope.,current,True,True,CLI / Developer Experience,current_release,certified,tier_3_certified_release,certified,,pkgs/core/tigrbl_tests/tests/unit/test_phase8_cli_cmds.py;pkgs/core/tigrbl_tests/tests/unit/test_phase8_cli_srv.py,EBND-0002;EBND-0008;EBND-0010;EBND-0011;EBND-0012,EART-0004;EART-0046;EART-0053;EART-0060;EART-0063,certification/claims/current.yaml;docs/conformance/audit/2026/p8-cli/README.md;docs/conformance/releases/0.3.18/EVIDENCE_INDEX.md;docs/developer/CLI_REFERENCE.md;pkgs/core/tigrbl/tigrbl/cli.py
CREG-0014,CUR-007,Active line 0.3.19.dev1 exists as governed next-target work only and is not a certified release.,current,True,False,Governance,active_next_target,evidenced,tier_1_governed_nonrelease,evidenced,,tools/ci/tests/test_phase14_handoff.py,EBND-0002;EBND-0008;EBND-0009;EBND-0009,EART-0004;EART-0044;EART-0048;EART-0049,certification/claims/current.yaml;docs/conformance/NEXT_TARGETS.md;docs/conformance/dev/0.3.19.dev1/;docs/conformance/dev/0.3.19.dev1/EVIDENCE_INDEX.md
CREG-0015,EVD-001,Gate A through Gate E evidence exists for stable release 0.3.18.,evidenced,True,True,Governance,current_release,evidenced,tier_3_evidenced_release,evidenced,,tools/ci/tests/test_evidence_registry.py,EBND-0002;EBND-0008;EBND-0010;EBND-0010,EART-0005;EART-0043;EART-0053;EART-0057,certification/claims/evidenced.yaml;docs/conformance/GATE_MODEL.md;docs/conformance/releases/0.3.18/EVIDENCE_INDEX.md;docs/conformance/releases/0.3.18/gate-results/
CREG-0016,EVD-002,Release-grade claim rows are mapped to evidence artifacts.,evidenced,True,True,Governance,current_release,evidenced,tier_3_evidenced_release,evidenced,,tools/ci/tests/test_evidence_registry.py,EBND-0002;EBND-0008;EBND-0008;EBND-0010;EBND-0010,EART-0005;EART-0041;EART-0042;EART-0053;EART-0055,certification/claims/evidenced.yaml;docs/conformance/EVIDENCE_MODEL.md;docs/conformance/EVIDENCE_REGISTRY.json;docs/conformance/releases/0.3.18/EVIDENCE_INDEX.md;docs/conformance/releases/0.3.18/artifacts/evidence-manifest.json
CREG-0017,EVD-003,Frozen release 0.3.18 remains honestly describable as certifiably fully featured within the declared boundary.,evidenced,True,True,Governance,current_release,certified,tier_3_evidenced_release,certified,,tools/ci/tests/test_gate_e_promotion.py,EBND-0002;EBND-0008;EBND-0010;EBND-0010,EART-0005;EART-0039;EART-0051;EART-0053,certification/claims/evidenced.yaml;docs/conformance/CURRENT_STATE.md;docs/conformance/releases/0.3.18/CLAIMS.md;docs/conformance/releases/0.3.18/EVIDENCE_INDEX.md
CREG-0018,EVD-004,Frozen release 0.3.18 remains honestly describable as certifiably fully RFC/spec compliant within the declared boundary.,evidenced,True,True,Governance,current_release,certified,tier_3_evidenced_release,certified,,tools/ci/tests/test_gate_e_promotion.py,EBND-0002;EBND-0008;EBND-0008;EBND-0010;EBND-0010,EART-0005;EART-0039;EART-0045;EART-0051;EART-0053,certification/claims/evidenced.yaml;docs/conformance/CURRENT_STATE.md;docs/conformance/RFC_SECURITY_EVIDENCE_MAP.md;docs/conformance/releases/0.3.18/CLAIMS.md;docs/conformance/releases/0.3.18/EVIDENCE_INDEX.md
CREG-0019,NEXT-003,DataTypeSpec and StorageTypeRef define the active canonical semantic datatype center for the next target.,target,True,False,Next-target program,N1,implemented,tier_2_checkpoint_target,implemented,NEXT-FEAT-001,pkgs/core/tigrbl_core/tests/test_semantic_datatype_core.py;crates/tigrbl_rs_spec/tests/spec_contract.rs,EBND-0001;EBND-0002;EBND-0002;EBND-0006;EBND-0008;EBND-0018;EBND-0017,EART-0002;EART-0006;EART-0007;EART-0033;EART-0044;EART-0075;EART-0078,.github/workflows/next-target-datatypes.yml;certification/claims/target.yaml;certification/targets/next_target.yaml;crates/tigrbl_rs_spec/src/datatypes/;docs/conformance/NEXT_TARGETS.md;pkgs/core/tigrbl_core/tests/test_semantic_datatype_core.py;pkgs/core/tigrbl_core/tigrbl_core/_spec/datatypes.py
CREG-0020,NEXT-004,ColumnSpec.datatype is the canonical datatype attachment point on the active next-target line.,target,True,False,Next-target program,N3,implemented,tier_2_checkpoint_target,implemented,NEXT-FEAT-002,pkgs/core/tigrbl_core/tests/test_column_datatype_integration.py;pkgs/core/tigrbl_base/tests/test_column_datatype_lowering.py,EBND-0002;EBND-0002;EBND-0008;EBND-0015;EBND-0014;EBND-0018;EBND-0017,EART-0006;EART-0007;EART-0044;EART-0066;EART-0067;EART-0070;EART-0077,certification/claims/target.yaml;certification/targets/next_target.yaml;docs/conformance/NEXT_TARGETS.md;pkgs/core/tigrbl_base/tests/test_column_datatype_lowering.py;pkgs/core/tigrbl_base/tigrbl_base/_base/_column_base.py;pkgs/core/tigrbl_core/tests/test_column_datatype_integration.py;pkgs/core/tigrbl_core/tigrbl_core/_spec/column_spec.py
CREG-0021,NEXT-005,"TypeAdapter, BaseTypeAdapter, and TypeRegistry provide the executable datatype contract on the active next-target line.",target,True,False,Next-target program,N1,implemented,tier_2_checkpoint_target,implemented,NEXT-FEAT-003,pkgs/core/tigrbl_core/tests/test_adapter_registry_contract.py;crates/tigrbl_rs_spec/tests/spec_contract.rs,EBND-0001;EBND-0002;EBND-0002;EBND-0006;EBND-0008;EBND-0018;EBND-0017,EART-0002;EART-0006;EART-0007;EART-0037;EART-0044;EART-0069;EART-0078,.github/workflows/next-target-datatypes.yml;certification/claims/target.yaml;certification/targets/next_target.yaml;crates/tigrbl_rs_spec/src/datatypes/registry.rs;docs/conformance/NEXT_TARGETS.md;pkgs/core/tigrbl_core/tests/test_adapter_registry_contract.py;pkgs/core/tigrbl_core/tigrbl_core/_spec/datatypes.py
CREG-0022,NEXT-006,"EngineTypeLowerer, EngineRegistry, and EngineDatatypeBridge control engine-owned lowering on the active next-target line.",target,True,False,Next-target program,N2,implemented,tier_2_checkpoint_target,implemented,NEXT-FEAT-004,pkgs/core/tigrbl_core/tests/test_engine_bridge_lowering.py;crates/tigrbl_rs_spec/tests/spec_contract.rs,EBND-0001;EBND-0002;EBND-0002;EBND-0006;EBND-0006;EBND-0008;EBND-0018;EBND-0017,EART-0002;EART-0006;EART-0007;EART-0034;EART-0035;EART-0044;EART-0071;EART-0078,.github/workflows/next-target-datatypes.yml;certification/claims/target.yaml;certification/targets/next_target.yaml;crates/tigrbl_rs_spec/src/datatypes/bridge.rs;crates/tigrbl_rs_spec/src/datatypes/engine_registry.rs;docs/conformance/NEXT_TARGETS.md;pkgs/core/tigrbl_core/tests/test_engine_bridge_lowering.py;pkgs/core/tigrbl_core/tigrbl_core/_spec/datatypes.py
CREG-0023,NEXT-007,ReflectedTypeMapper governs reverse mapping and reflection import behavior on the active next-target line.,target,True,False,Next-target program,N5,implemented,tier_2_checkpoint_target,implemented,NEXT-FEAT-005,pkgs/core/tigrbl_core/tests/test_reflection_roundtrip_recovery.py;pkgs/core/tigrbl_core/tests/test_schema_roundtrip_recovery.py,EBND-0001;EBND-0002;EBND-0002;EBND-0006;EBND-0008;EBND-0018;EBND-0017,EART-0002;EART-0006;EART-0007;EART-0036;EART-0044;EART-0073;EART-0078,.github/workflows/next-target-datatypes.yml;certification/claims/target.yaml;certification/targets/next_target.yaml;crates/tigrbl_rs_spec/src/datatypes/reflected.rs;docs/conformance/NEXT_TARGETS.md;pkgs/core/tigrbl_core/tests/test_reflection_roundtrip_recovery.py;pkgs/core/tigrbl_core/tigrbl_core/_spec/datatypes.py
CREG-0024,NEXT-008,"Relational, dataframe, file, cache, and probabilistic engine families align to the datatype bridge contract on the active next-target line.",target,True,False,Next-target program,N2,implemented,tier_2_checkpoint_target,implemented,NEXT-FEAT-006,pkgs/core/tigrbl_core/tests/test_engine_family_alignment.py,EBND-0001;EBND-0002;EBND-0002;EBND-0008;EBND-0018;EBND-0017,EART-0001;EART-0006;EART-0007;EART-0044;EART-0072;EART-0078,.github/workflows/evidence-lanes.yml;certification/claims/target.yaml;certification/targets/next_target.yaml;docs/conformance/NEXT_TARGETS.md;pkgs/core/tigrbl_core/tests/test_engine_family_alignment.py;pkgs/core/tigrbl_core/tigrbl_core/_spec/datatypes.py
CREG-0025,NEXT-009,Table portability and interoperability rules are specified as governed next-target work on the active line.,target,True,False,Next-target program,N4,implemented,tier_2_checkpoint_target,implemented,NEXT-FEAT-007,pkgs/core/tigrbl_core/tests/test_table_portability_contract.py,EBND-0002;EBND-0002;EBND-0008;EBND-0018;EBND-0017,EART-0006;EART-0007;EART-0044;EART-0076;EART-0080,certification/claims/target.yaml;certification/targets/next_target.yaml;docs/conformance/NEXT_TARGETS.md;pkgs/core/tigrbl_core/tests/test_table_portability_contract.py;pkgs/core/tigrbl_core/tigrbl_core/_spec/table_spec.py
CREG-0026,NEXT-010,Reflection-driven round-trip schema recovery is defined with best-effort and metadata-preserving modes on the active next-target line.,target,True,False,Next-target program,N5,implemented,tier_2_checkpoint_target,implemented,NEXT-FEAT-008,pkgs/core/tigrbl_core/tests/test_schema_roundtrip_recovery.py;pkgs/core/tigrbl_core/tests/test_reflection_roundtrip_recovery.py,EBND-0001;EBND-0002;EBND-0002;EBND-0006;EBND-0008;EBND-0018;EBND-0017,EART-0002;EART-0006;EART-0007;EART-0036;EART-0044;EART-0074;EART-0078,.github/workflows/next-target-datatypes.yml;certification/claims/target.yaml;certification/targets/next_target.yaml;crates/tigrbl_rs_spec/src/datatypes/reflected.rs;docs/conformance/NEXT_TARGETS.md;pkgs/core/tigrbl_core/tests/test_schema_roundtrip_recovery.py;pkgs/core/tigrbl_core/tigrbl_core/_spec/datatypes.py
